id	designacao	produto*	produto_id	vlan	empresa_id	sequencia
1	bhe-02-0001-02-001	Fibra Apagada	7	0	1	1
2	bhe-02-0001-01-002	IP Flex	9	120	1	2
3	bhe-02-0001-00-003	Fibra Apagada	7	0	1	3
4	bhe-02-0001-02-004	Fibra Apagada	7	0	1	4
5	bhe-02-0001-00-005	Fibra Apagada	7	0	1	5
6	bhe-02-0001-02-005	Fibra Apagada	7	0	1	5
7	bhe-02-0001-00-006	Fibra Apagada	7	0	1	6
8	bhe-02-0001-00-007	Fibra Apagada	7	0	1	7
9	bhe-02-0001-00-008	Fibra Apagada	7	0	1	8
10	bhe-02-0001-00-009	Fibra Apagada	7	0	1	9
11	bhe-02-0001-00-010	Fibra Apagada	7	0	1	10
12	bhe-02-0001-00-011	Fibra Apagada	7	0	1	11
13	bhe-02-0001-02-013	Fibra Apagada	7	0	1	13
14	bhe-02-0001-00-014	Fibra Apagada	7	0	1	14
15	bhe-00-0001-00-015	Fibra Apagada	7	0	1	15
16	bhe-02-0001-00-016	Fibra Apagada	7	0	1	16
17	bhe-02-0001-00-017	Fibra Apagada	7	0	1	17
18	bhe-00-0001-00-018	Fibra Apagada	7	0	1	18
19	bhe-02-0001-02-019	Fibra Apagada	7	0	1	19
20	bhe-07-0001-02-020	Fibra Apagada	7	102	1	20
21	bhe-07-0001-02-021	Fibra Apagada	7	138	1	21
22	bhe-07-0001-01-022	IP Flex	9	103	1	22
23	bhe-07-0001-01-022B	IP Flex	9	0	1	22
24	bhe-07-0001-02-023	Fibra Apagada	7	0	1	23
25	bhe-00-0002-00-001	Fibra Apagada	7	0	2	1
26	bhe-03-0003-01-001	Fibra Apagada	7	0	3	1
27	bhe-03-0003-00-002	Fibra Apagada	7	0	3	2
28	bhe-03-0003-00-003	Fibra Apagada	7	0	3	3
29	bhe-00-0003-00-004	Fibra Apagada	7	0	3	4
30	bhe-00-0004-00-001	Fibra Apagada	7	0	4	1
31	bhe-00-0005-00-001	Fibra Apagada	7	0	5	1
32	bhe-01-0006-00-001	Fibra Apagada	7	0	6	1
33	bhe-07-0007-01-001	Connect Flex	2	0	7	1
34	bhe-02-0007-03-001	Fibra Apagada	7	108	7	1
35	bhe-07-0007-01-002	IP Flex	9	106	7	2
36	bhe-07-0008-02-001	EILD	6	107	8	1
37	bhe-05-0008-02-002	EILD	6	125	8	2
38	bhe-06-0008-02-004	EILD	6	133	8	4
39	bhe-03-0008-02-005	EILD	6	137	8	5
40	bhe-03-0008-02-006	EILD	6	139	8	6
41	bhe-05-0008-02-007	EILD	6	142	8	7
42	bhe-05-0008-02-008	EILD	6	145	8	8
43	bhe-01-0008-02-009	EILD	6	136	8	9
44	bhe-06-0008-02-010	EILD	6	160	8	10
45	bhe-01-0008-02-011	EILD	6	161	8	11
46	bhe-01-0008-02-012	EILD	6	162	8	12
47	bhe-01-0008-02-013	EILD	6	0	8	13
48	bhe-06-0008-02-013	EILD	6	169	8	13
49	bhe-07-0008-02-014	EILD	6	0	8	14
50	bhe-05-0008-02-015	EILD	6	0	8	15
51	bhe-01-0009-01-001	IP Flex	9	101	9	1
52	bhe-01-0010-00-001	Fibra Apagada	7	0	10	1
53	bhe-00-0010-00-002	Fibra Apagada	7	0	10	2
54	bhe-01-0013-00-001	Fibra Apagada	7	0	13	1
