id	empresa*	empresa_id
1	Unimed	1
2	Bonsucesso	2
3	Minerconsult	3
4	Pitágoras	4
5	Belvitur	5
6	Itambé	6
7	Axial	7
8	CTBC	8
9	Alert	9
10	TRT	10
11	Larox	11
12	CPRR	12
13	Montreal	13
14	Dynpro	14
15	Hermes Pardini	15
16	BMG	16
17	Via Telecom	17
18	Minas Máquinas	18
19	Net Service	19
20	Superbuy	20
21	Sette	21
22	Senai	22
23	TRE	23
24	A&C	24
25	Quality	25
26	Banco Rural	26
27	Direcional	27
28	Confrapar	28
29	SENAI	29
30	#30#	30
31	Cimcorp	31
32	Global Crossing	32
33	Hospital Vila da Serra	33
34	Bernoulli	34
35	Sambatech	35
36	Localiza	36
37	Banco Pottencial	37
38	Manoel Bernardes	38
39	GVT	39
40	#40#	40
41	#41#	41
42	Intelle	42
43	MRV	43
44	Valenet	44
